Wilayah;Tahun;Perkotaan_Perdesaan;Sumber_Air;Total_WERT
Cianjur;2021;Perkotaan;Mata air tak terlindung;14304,18369
Cianjur;2021;Perdesaan;Mata air terlindung;88342,32806
Cianjur;2021;Perkotaan;Mata air terlindung;33144,22932
Cianjur;2021;Perdesaan;Sumur bor/pompa;41097,07161
Cianjur;2021;Perkotaan;Sumur bor/pompa;64351,06473
Cianjur;2021;Perdesaan;Sumur tak terlindung;25466,77827
Cianjur;2021;Perkotaan;Sumur tak terlindung;5749,240479
Cianjur;2021;Perdesaan;Sumur terlindung;164169,974
Cianjur;2021;Perkotaan;Sumur terlindung;84948,50656
Cianjur;2022;Perdesaan;Air hujan;262,6416233
Cianjur;2022;Perdesaan;Air isi ulang;46037,30185
Cianjur;2022;Perkotaan;Air isi ulang;110237,5144
Cianjur;2022;Perkotaan;Air kemasan bermerk;16500,87722
Cianjur;2022;Perdesaan;Air permukaan;5929,388021
Cianjur;2022;Perkotaan;Air permukaan;297,068065
Cianjur;2022;Perdesaan;Lainnya;1103,43885
Cianjur;2022;Perdesaan;Leding;7044,855588
Cianjur;2022;Perkotaan;Leding;10191,69013
Cianjur;2022;Perdesaan;Mata air tak terlindung;39031,54185
Cianjur;2022;Perkotaan;Mata air tak terlindung;9008,581906
Cianjur;2022;Perdesaan;Mata air terlindung;74157,83474
Cianjur;2022;Perkotaan;Mata air terlindung;26790,12243
Cianjur;2022;Perdesaan;Sumur bor/pompa;30808,92121
Cianjur;2022;Perkotaan;Sumur bor/pompa;50010,53322
Cianjur;2022;Perdesaan;Sumur tak terlindung;45378,60111
Cianjur;2022;Perkotaan;Sumur tak terlindung;13177,07896
Cianjur;2022;Perdesaan;Sumur terlindung;120183,8155
Cianjur;2022;Perkotaan;Sumur terlindung;72363,33921
Cianjur;2023;Perdesaan;Air isi ulang;38346,50501
Cianjur;2023;Perkotaan;Air isi ulang;98986,06016
Cianjur;2023;Perdesaan;Air kemasan bermerk;1259,740317
Cianjur;2023;Perkotaan;Air kemasan bermerk;5718,116246
Cianjur;2023;Perdesaan;Air permukaan;12382,30289
Cianjur;2023;Perkotaan;Air permukaan;1759,859842
Cianjur;2023;Perdesaan;Lainnya;415,2639335
Cianjur;2023;Perdesaan;Leding;4643,07971
Cianjur;2023;Perkotaan;Leding;15018,39254
Cianjur;2023;Perdesaan;Mata air tak terlindung;36368,90492
Cianjur;2023;Perkotaan;Mata air tak terlindung;2897,385076
Cianjur;2023;Perdesaan;Mata air terlindung;80287,18588
Cianjur;2023;Perkotaan;Mata air terlindung;42353,59331
Cianjur;2023;Perdesaan;Sumur bor/pompa;40605,75441
Cianjur;2023;Perkotaan;Sumur bor/pompa;41746,395
Cianjur;2023;Perdesaan;Sumur tak terlindung;16351,30733
Cianjur;2023;Perkotaan;Sumur tak terlindung;13602,45209
Cianjur;2023;Perdesaan;Sumur terlindung;129082,3051
Cianjur;2023;Perkotaan;Sumur terlindung;113023,8792
Cirebon;2019;Perdesaan;Air isi ulang;42277,86372
Cirebon;2019;Perkotaan;Air isi ulang;269076,9629
Cirebon;2019;Perdesaan;Air kemasan bermerk;952,6864014
Cirebon;2019;Perkotaan;Air kemasan bermerk;24706,0304
Cirebon;2019;Perdesaan;Leding;7511,333099
Cirebon;2019;Perkotaan;Leding;35522,47089
Cirebon;2019;Perdesaan;Mata air terlindung;746,5898142
Cirebon;2019;Perkotaan;Mata air terlindung;4032,892517
Cirebon;2019;Perdesaan;Sumur bor/pompa;9835,436221
Cirebon;2019;Perkotaan;Sumur bor/pompa;95925,49669
Cirebon;2019;Perdesaan;Sumur tak terlindung;944,4773865
Cirebon;2019;Perkotaan;Sumur tak terlindung;5556,878418
Cirebon;2019;Perdesaan;Sumur terlindung;8965,754751
Cirebon;2019;Perkotaan;Sumur terlindung;99283,11172
Cirebon;2020;Perdesaan;Air isi ulang;42531,03014
Cirebon;2020;Perkotaan;Air isi ulang;235222,2828
Cirebon;2020;Perdesaan;Air kemasan bermerk;1642,1589
Cirebon;2020;Perkotaan;Air kemasan bermerk;38115,11401
Cirebon;2020;Perkotaan;Air permukaan;467,4381714
Cirebon;2020;Perdesaan;Leding;5596,461253
Cirebon;2020;Perkotaan;Leding;45704,11373
Cirebon;2020;Perdesaan;Mata air terlindung;4264,961929
Cirebon;2020;Perkotaan;Mata air terlindung;1430,910454
Cirebon;2020;Perdesaan;Sumur bor/pompa;14732,60048
Cirebon;2020;Perkotaan;Sumur bor/pompa;127689,3953
Cirebon;2020;Perdesaan;Sumur tak terlindung;39,87277603
Cirebon;2020;Perkotaan;Sumur tak terlindung;7298,946472
Cirebon;2020;Perdesaan;Sumur terlindung;4257,521915
Cirebon;2020;Perkotaan;Sumur terlindung;69440,14339
Cirebon;2021;Perdesaan;Air isi ulang;33768,2886
Cirebon;2021;Perkotaan;Air isi ulang;275215,6577
Cirebon;2021;Perdesaan;Air kemasan bermerk;1666,25563
Cirebon;2021;Perkotaan;Air kemasan bermerk;49211,01336
Cirebon;2021;Perkotaan;Lainnya;405,1215515
Cirebon;2021;Perdesaan;Leding;9816,950317
Cirebon;2021;Perkotaan;Leding;40621,8757
Cirebon;2021;Perdesaan;Mata air tak terlindung;700,1262054
Cirebon;2021;Perkotaan;Mata air tak terlindung;650,5667725
Cirebon;2021;Perdesaan;Mata air terlindung;3892,904434
Cirebon;2021;Perkotaan;Mata air terlindung;6282,538635
Cirebon;2021;Perdesaan;Sumur bor/pompa;4772,077037
Cirebon;2021;Perkotaan;Sumur bor/pompa;137670,8922
Cirebon;2021;Perkotaan;Sumur tak terlindung;6806,144653
Cirebon;2021;Perdesaan;Sumur terlindung;4736,409776
Cirebon;2021;Perkotaan;Sumur terlindung;63807,0614
Cirebon;2022;Perkotaan;Air hujan;319,5270181
Cirebon;2022;Perdesaan;Air isi ulang;38383,37227
Cirebon;2022;Perkotaan;Air isi ulang;307515,9896
Cirebon;2022;Perdesaan;Air kemasan bermerk;1205,182422
Cirebon;2022;Perkotaan;Air kemasan bermerk;43398,56931
Cirebon;2022;Perkotaan;Lainnya;8549,865818
Cirebon;2022;Perdesaan;Leding;7291,482089
Cirebon;2022;Perkotaan;Leding;27631,74783
Cirebon;2022;Perkotaan;Mata air tak terlindung;1506,759883
Cirebon;2022;Perdesaan;Mata air terlindung;2511,848769
Cirebon;2022;Perkotaan;Mata air terlindung;8337,053595
Cirebon;2022;Perdesaan;Sumur bor/pompa;2211,829684
Cirebon;2022;Perkotaan;Sumur bor/pompa;117338,5293
Cirebon;2022;Perkotaan;Sumur tak terlindung;2630,563646
Cirebon;2022;Perdesaan;Sumur terlindung;5460,652854
Cirebon;2022;Perkotaan;Sumur terlindung;60922,86696
Cirebon;2023;Perdesaan;Air isi ulang;26634,10393
Cirebon;2023;Perkotaan;Air isi ulang;334267,0953
Cirebon;2023;Perdesaan;Air kemasan bermerk;2211,797578
Cirebon;2023;Perkotaan;Air kemasan bermerk;36649,05899
Cirebon;2023;Perdesaan;Air permukaan;13,83751388
Cirebon;2023;Perdesaan;Leding;6748,715323
Cirebon;2023;Perkotaan;Leding;39085,84594
Cirebon;2023;Perdesaan;Mata air tak terlindung;146,8082298
Cirebon;2023;Perkotaan;Mata air tak terlindung;1389,022453
Cirebon;2023;Perdesaan;Mata air terlindung;1034,366193
Cirebon;2023;Perkotaan;Mata air terlindung;2473,87969
Cirebon;2023;Perdesaan;Sumur bor/pompa;2296,173352
Cirebon;2023;Perkotaan;Sumur bor/pompa;130145,5821
Cirebon;2023;Perdesaan;Sumur tak terlindung;459,4258581
Cirebon;2023;Perkotaan;Sumur tak terlindung;1105,729163
Cirebon;2023;Perdesaan;Sumur terlindung;5067,780661
Cirebon;2023;Perkotaan;Sumur terlindung;35939,89358
Garut;2019;Perdesaan;Air isi ulang;35153,84975
Garut;2019;Perkotaan;Air isi ulang;84374,30707
Garut;2019;Perdesaan;Air kemasan bermerk;3025,891418
Garut;2019;Perkotaan;Air kemasan bermerk;10561,15848
Garut;2019;Perdesaan;Air permukaan;11663,52643
Garut;2019;Perkotaan;Lainnya;726,9329834
Garut;2019;Perkotaan;Leding;33418,6057
Garut;2019;Perdesaan;Mata air tak terlindung;42177,30681
Garut;2019;Perkotaan;Mata air tak terlindung;5878,791336
Garut;2019;Perdesaan;Mata air terlindung;107108,9483
Garut;2019;Perkotaan;Mata air terlindung;57500,26778
Garut;2019;Perdesaan;Sumur bor/pompa;28240,47691
Garut;2019;Perkotaan;Sumur bor/pompa;109290,5712
Garut;2019;Perdesaan;Sumur tak terlindung;22059,25451
Garut;2019;Perkotaan;Sumur tak terlindung;9421,43631
Garut;2019;Perdesaan;Sumur terlindung;71752,48111
Garut;2019;Perkotaan;Sumur terlindung;59548,53942
Garut;2020;Perdesaan;Air isi ulang;29939,67201
Garut;2020;Perkotaan;Air isi ulang;65337,63669
Garut;2020;Perdesaan;Air kemasan bermerk;2184,636902
Garut;2020;Perkotaan;Air kemasan bermerk;20300,00925
Garut;2020;Perdesaan;Air permukaan;12698,06757
Garut;2020;Perkotaan;Air permukaan;1331,827087
Garut;2020;Perdesaan;Leding;2317,637665
Garut;2020;Perkotaan;Leding;44096,38791
Garut;2020;Perdesaan;Mata air tak terlindung;58221,85953
Garut;2020;Perkotaan;Mata air tak terlindung;11552,71298
Garut;2020;Perdesaan;Mata air terlindung;108231,9683
Garut;2020;Perkotaan;Mata air terlindung;52995,24588
Garut;2020;Perdesaan;Sumur bor/pompa;24054,24377
Garut;2020;Perkotaan;Sumur bor/pompa;48639,61139
Garut;2020;Perdesaan;Sumur tak terlindung;19179,18848
Garut;2020;Perkotaan;Sumur tak terlindung;14737,93407
Garut;2020;Perdesaan;Sumur terlindung;61625,25954
Garut;2020;Perkotaan;Sumur terlindung;120840,4202
Garut;2021;Perdesaan;Air isi ulang;25716,37041
Garut;2021;Perkotaan;Air isi ulang;57667,89981
Garut;2021;Perdesaan;Air kemasan bermerk;5013,45282
Garut;2021;Perkotaan;Air kemasan bermerk;12454,98157
Garut;2021;Perdesaan;Air permukaan;12829,83508
Garut;2021;Perkotaan;Air permukaan;4567,729614
Garut;2021;Perdesaan;Lainnya;460,2182312
Garut;2021;Perkotaan;Lainnya;2024,797729
Garut;2021;Perdesaan;Leding;1647,677612
Garut;2021;Perkotaan;Leding;18879,25177
Garut;2021;Perdesaan;Mata air tak terlindung;60736,38461
Garut;2021;Perkotaan;Mata air tak terlindung;17751,33316
Garut;2021;Perdesaan;Mata air terlindung;126397,8342
Garut;2021;Perkotaan;Mata air terlindung;48232,87318
Garut;2021;Perdesaan;Sumur bor/pompa;13071,33355
Garut;2021;Perkotaan;Sumur bor/pompa;77859,20683
Garut;2021;Perdesaan;Sumur tak terlindung;27772,80299
Garut;2021;Perkotaan;Sumur tak terlindung;18766,51785
Garut;2021;Perdesaan;Sumur terlindung;59354,72297
Garut;2021;Perkotaan;Sumur terlindung;139261,0895
Garut;2022;Perdesaan;Air isi ulang;47626,78923
Garut;2022;Perkotaan;Air isi ulang;80792,64187
Garut;2022;Perkotaan;Air kemasan bermerk;15310,64345
Garut;2022;Perdesaan;Air permukaan;19312,2644
Garut;2022;Perkotaan;Air permukaan;7892,041177
Garut;2022;Perdesaan;Leding;1353,313486
Garut;2022;Perkotaan;Leding;18058,26308
Garut;2022;Perdesaan;Mata air tak terlindung;40531,76763
Garut;2022;Perkotaan;Mata air tak terlindung;24440,93921
Garut;2022;Perdesaan;Mata air terlindung;102823,7049
Garut;2022;Perkotaan;Mata air terlindung;35942,94045
Garut;2022;Perdesaan;Sumur bor/pompa;20995,97946
Garut;2022;Perkotaan;Sumur bor/pompa;65820,47958
Garut;2022;Perdesaan;Sumur tak terlindung;12297,96493
Garut;2022;Perkotaan;Sumur tak terlindung;16067,86168
Garut;2022;Perdesaan;Sumur terlindung;55786,6711
Garut;2022;Perkotaan;Sumur terlindung;125967,2322
Garut;2023;Perdesaan;Air isi ulang;6053,169754
Garut;2023;Perkotaan;Air isi ulang;102132,4216
Garut;2023;Perdesaan;Air kemasan bermerk;875,4673603
Garut;2023;Perkotaan;Air kemasan bermerk;16200,00256
Garut;2023;Perdesaan;Air permukaan;12664,79152
Garut;2023;Perkotaan;Air permukaan;2215,914277
Garut;2023;Perdesaan;Leding;1807,342088
Garut;2023;Perkotaan;Leding;30421,30356
Garut;2023;Perdesaan;Mata air tak terlindung;48225,82569
Garut;2023;Perkotaan;Mata air tak terlindung;8323,036311
Garut;2023;Perdesaan;Mata air terlindung;90498,16665
Garut;2023;Perkotaan;Mata air terlindung;51097,99907
Garut;2023;Perdesaan;Sumur bor/pompa;7562,812513
Garut;2023;Perkotaan;Sumur bor/pompa;71706,76921
Garut;2023;Perdesaan;Sumur tak terlindung;35994,6787
Garut;2023;Perkotaan;Sumur tak terlindung;3403,992254
Garut;2023;Perdesaan;Sumur terlindung;72831,63214
Garut;2023;Perkotaan;Sumur terlindung;107005,2681
Indramayu;2019;Perdesaan;Air hujan;1372,118317
Indramayu;2019;Perdesaan;Air isi ulang;178654,6396
Indramayu;2019;Perkotaan;Air isi ulang;188240,7233
Indramayu;2019;Perdesaan;Air kemasan bermerk;7732,931259
Indramayu;2019;Perkotaan;Air kemasan bermerk;10194,66693
Indramayu;2019;Perdesaan;Air permukaan;1128,832764
Indramayu;2019;Perdesaan;Leding;11557,33984
Indramayu;2019;Perkotaan;Leding;26473,30289
Indramayu;2019;Perdesaan;Mata air tak terlindung;386,3753662
Indramayu;2019;Perdesaan;Sumur bor/pompa;46714,4953
Indramayu;2019;Perkotaan;Sumur bor/pompa;48430,49541
Indramayu;2019;Perdesaan;Sumur tak terlindung;2808,405075
Indramayu;2019;Perkotaan;Sumur tak terlindung;1200,159668
Indramayu;2019;Perdesaan;Sumur terlindung;10242,81161
Indramayu;2019;Perkotaan;Sumur terlindung;3036,076599
Indramayu;2020;Perkotaan;Air hujan;514,8581543
Indramayu;2020;Perdesaan;Air isi ulang;176095,914
Indramayu;2020;Perkotaan;Air isi ulang;204024,2524
Indramayu;2020;Perdesaan;Air kemasan bermerk;7248,467892
Indramayu;2020;Perkotaan;Air kemasan bermerk;24770,48178
Indramayu;2020;Perdesaan;Leding;23046,05502
Indramayu;2020;Perkotaan;Leding;22535,99976
Indramayu;2020;Perdesaan;Sumur bor/pompa;49932,76411
Indramayu;2020;Perkotaan;Sumur bor/pompa;36522,22021
Indramayu;2020;Perkotaan;Sumur tak terlindung;1109,099731
Indramayu;2020;Perdesaan;Sumur terlindung;3107,818527
Indramayu;2020;Perkotaan;Sumur terlindung;2467,232483
Indramayu;2021;Perdesaan;Air isi ulang;194605,3648
Indramayu;2021;Perkotaan;Air isi ulang;215713,7918
Indramayu;2021;Perdesaan;Air kemasan bermerk;6350,192575
Indramayu;2021;Perkotaan;Air kemasan bermerk;28431,64944
Indramayu;2021;Perdesaan;Leding;9552,421326
Indramayu;2021;Perkotaan;Leding;23970,46128
Indramayu;2021;Perdesaan;Mata air terlindung;471,073761
Indramayu;2021;Perdesaan;Sumur bor/pompa;50239,07563
Indramayu;2021;Perkotaan;Sumur bor/pompa;29919,91873
Indramayu;2021;Perdesaan;Sumur tak terlindung;449,8886719
Indramayu;2021;Perdesaan;Sumur terlindung;3141,878738
Indramayu;2021;Perkotaan;Sumur terlindung;2011,023254
Indramayu;2022;Perkotaan;Air hujan;1574,56744
Indramayu;2022;Perdesaan;Air isi ulang;188512,6918
Indramayu;2022;Perkotaan;Air isi ulang;219527,398
Indramayu;2022;Perdesaan;Air kemasan bermerk;6977,935529
Indramayu;2022;Perkotaan;Air kemasan bermerk;17991,47458
Indramayu;2022;Perdesaan;Air permukaan;746,4415179
Indramayu;2022;Perdesaan;Leding;5268,609391
Indramayu;2022;Perkotaan;Leding;11088,09344
Indramayu;2022;Perdesaan;Mata air terlindung;2487,879964
Indramayu;2022;Perdesaan;Sumur bor/pompa;41344,34661
Indramayu;2022;Perkotaan;Sumur bor/pompa;40660,89011
Indramayu;2022;Perdesaan;Sumur terlindung;2074,878993
Indramayu;2022;Perkotaan;Sumur terlindung;2966,986034
Indramayu;2023;Perdesaan;Air isi ulang;168825,3516
Indramayu;2023;Perkotaan;Air isi ulang;246115,993
Indramayu;2023;Perdesaan;Air kemasan bermerk;6453,585553
Indramayu;2023;Perkotaan;Air kemasan bermerk;26648,55024
Indramayu;2023;Perdesaan;Leding;16996,01301
Indramayu;2023;Perkotaan;Leding;25431,70942
Indramayu;2023;Perdesaan;Mata air terlindung;972,2110441
Indramayu;2023;Perdesaan;Sumur bor/pompa;37445,07983
Indramayu;2023;Perkotaan;Sumur bor/pompa;19160,8363
Indramayu;2023;Perdesaan;Sumur terlindung;4683,136717
Indramayu;2023;Perkotaan;Sumur terlindung;254,9090874
Karawang;2019;Perdesaan;Air isi ulang;91220,53403
Karawang;2019;Perkotaan;Air isi ulang;225007,894
Karawang;2019;Perdesaan;Air kemasan bermerk;15844,75829
Karawang;2019;Perkotaan;Air kemasan bermerk;75430,92871
Karawang;2019;Perdesaan;Air permukaan;381,5990295
Karawang;2019;Perdesaan;Leding;2607,197693
Karawang;2019;Perkotaan;Leding;11571,73962
Karawang;2019;Perdesaan;Mata air tak terlindung;5022,408264
Karawang;2019;Perdesaan;Sumur bor/pompa;66085,28743
Karawang;2019;Perkotaan;Sumur bor/pompa;143814,6827
Karawang;2019;Perdesaan;Sumur tak terlindung;1106,617012
Karawang;2019;Perdesaan;Sumur terlindung;9462,677877
Karawang;2019;Perkotaan;Sumur terlindung;10389,71078
Karawang;2020;Perdesaan;Air isi ulang;108412,2808
Karawang;2020;Perkotaan;Air isi ulang;242677,6684
Karawang;2020;Perdesaan;Air kemasan bermerk;14303,5555
Karawang;2020;Perkotaan;Air kemasan bermerk;97272,29776
Karawang;2020;Perdesaan;Leding;2695,327789
Karawang;2020;Perkotaan;Leding;9683,474243
Karawang;2020;Perdesaan;Mata air tak terlindung;2218,557648
Karawang;2020;Perkotaan;Mata air terlindung;597,1853638
Karawang;2020;Perdesaan;Sumur bor/pompa;43636,31245
Karawang;2020;Perkotaan;Sumur bor/pompa;122520,702
Karawang;2020;Perdesaan;Sumur tak terlindung;819,1094971
Karawang;2020;Perdesaan;Sumur terlindung;13621,55794
Karawang;2020;Perkotaan;Sumur terlindung;2782,531372
Karawang;2021;Perdesaan;Air isi ulang;102190,0566
Karawang;2021;Perkotaan;Air isi ulang;289369,1135
Karawang;2021;Perdesaan;Air kemasan bermerk;4376,301289
Karawang;2021;Perkotaan;Air kemasan bermerk;69634,35506
Karawang;2021;Perdesaan;Air permukaan;946,5589905
Karawang;2021;Perdesaan;Leding;14958,47724
Karawang;2021;Perkotaan;Leding;15805,99274
Karawang;2021;Perdesaan;Mata air terlindung;159,9379425
Karawang;2021;Perdesaan;Sumur bor/pompa;58127,31972
Karawang;2021;Perkotaan;Sumur bor/pompa;125074,7733
Karawang;2021;Perdesaan;Sumur tak terlindung;116,531662
Karawang;2021;Perdesaan;Sumur terlindung;8805,092041
Karawang;2021;Perkotaan;Sumur terlindung;14869,78253
Karawang;2022;Perdesaan;Air isi ulang;88613,5281
Karawang;2022;Perkotaan;Air isi ulang;286870,1867
Karawang;2022;Perdesaan;Air kemasan bermerk;4400,61954
Karawang;2022;Perkotaan;Air kemasan bermerk;82039,03599
Karawang;2022;Perdesaan;Lainnya;311,7570803
Karawang;2022;Perdesaan;Leding;4947,380417
Karawang;2022;Perkotaan;Leding;11147,41975
Karawang;2022;Perdesaan;Mata air terlindung;2120,634601
Karawang;2022;Perkotaan;Mata air terlindung;1298,622436
Karawang;2022;Perdesaan;Sumur bor/pompa;59050,46891
Karawang;2022;Perkotaan;Sumur bor/pompa;108710,2351
Karawang;2022;Perdesaan;Sumur tak terlindung;166,9600467
Karawang;2022;Perdesaan;Sumur terlindung;9308,655504
Karawang;2022;Perkotaan;Sumur terlindung;8805,746986
Karawang;2023;Perdesaan;Air isi ulang;85569,6924
Karawang;2023;Perkotaan;Air isi ulang;324413,7901
Karawang;2023;Perdesaan;Air kemasan bermerk;9439,366949
Karawang;2023;Perkotaan;Air kemasan bermerk;59949,65919
Karawang;2023;Perdesaan;Leding;6149,850052
Karawang;2023;Perkotaan;Leding;11401,37663
Karawang;2023;Perkotaan;Mata air terlindung;43,36694919
Karawang;2023;Perdesaan;Sumur bor/pompa;50854,32311
Karawang;2023;Perkotaan;Sumur bor/pompa;101153,414
Karawang;2023;Perkotaan;Sumur tak terlindung;890,8543786
Karawang;2023;Perdesaan;Sumur terlindung;11723,61605
Karawang;2023;Perkotaan;Sumur terlindung;19492,56356
Kota Bandung;2019;Perkotaan;Air isi ulang;391409,0849
Kota Bandung;2019;Perkotaan;Air kemasan bermerk;185158,679
Kota Bandung;2019;Perkotaan;Leding;83328,5251
Kota Bandung;2019;Perkotaan;Mata air terlindung;2174,779114
Kota Bandung;2019;Perkotaan;Sumur bor/pompa;58671,5643
Kota Bandung;2019;Perkotaan;Sumur terlindung;17910,96829
Kota Bandung;2020;Perkotaan;Air isi ulang;399009,421
Kota Bandung;2020;Perkotaan;Air kemasan bermerk;165680,4334
Kota Bandung;2020;Perkotaan;Leding;59923,49344
Kota Bandung;2020;Perkotaan;Mata air terlindung;8431,27356
Kota Bandung;2020;Perkotaan;Sumur bor/pompa;107323,4877
Kota Bandung;2020;Perkotaan;Sumur tak terlindung;1335,343262
Kota Bandung;2020;Perkotaan;Sumur terlindung;10513,86758
Kota Bandung;2021;Perkotaan;Air isi ulang;413029,5082
Kota Bandung;2021;Perkotaan;Air kemasan bermerk;181846,2428
Kota Bandung;2021;Perkotaan;Leding;58679,51688
Kota Bandung;2021;Perkotaan;Mata air terlindung;2942,465332
Kota Bandung;2021;Perkotaan;Sumur bor/pompa;73060,10192
Kota Bandung;2021;Perkotaan;Sumur terlindung;3298,196411
Kota Bandung;2022;Perkotaan;Air isi ulang;419681,0749
Kota Bandung;2022;Perkotaan;Air kemasan bermerk;135142,6635
Kota Bandung;2022;Perkotaan;Leding;61893,54017
Kota Bandung;2022;Perkotaan;Mata air terlindung;5902,110116
Kota Bandung;2022;Perkotaan;Sumur bor/pompa;57061,51953
Kota Bandung;2022;Perkotaan;Sumur terlindung;16563,95098
Kota Bandung;2023;Perkotaan;Air isi ulang;404901,2821
Kota Bandung;2023;Perkotaan;Air kemasan bermerk;138666,0576
Kota Bandung;2023;Perkotaan;Lainnya;698,7410469
Kota Bandung;2023;Perkotaan;Leding;53602,05734
Kota Bandung;2023;Perkotaan;Mata air terlindung;7964,383347
Kota Bandung;2023;Perkotaan;Sumur bor/pompa;56028,06253
Kota Bandung;2023;Perkotaan;Sumur terlindung;11518,20418
Kota Banjar;2019;Perdesaan;Air isi ulang;4927,45715
Kota Banjar;2019;Perkotaan;Air isi ulang;20053,12174
Kota Banjar;2019;Perdesaan;Air kemasan bermerk;94,95457077
Kota Banjar;2019;Perkotaan;Air kemasan bermerk;3602,053539
Kota Banjar;2019;Perdesaan;Leding;238,668808
Kota Banjar;2019;Perkotaan;Leding;3789,958611
Kota Banjar;2019;Perdesaan;Mata air tak terlindung;564,7970943
Kota Banjar;2019;Perkotaan;Mata air terlindung;245,2215958
Kota Banjar;2019;Perdesaan;Sumur bor/pompa;2085,426627
Kota Banjar;2019;Perkotaan;Sumur bor/pompa;4768,042166
Kota Banjar;2019;Perdesaan;Sumur tak terlindung;200,7918186
Kota Banjar;2019;Perkotaan;Sumur tak terlindung;252,7321243
Kota Banjar;2019;Perdesaan;Sumur terlindung;1807,985858
Kota Banjar;2019;Perkotaan;Sumur terlindung;12019,92798
Kota Banjar;2020;Perdesaan;Air isi ulang;4731,109697
Kota Banjar;2020;Perkotaan;Air isi ulang;21730,63477
Kota Banjar;2020;Perdesaan;Air kemasan bermerk;166,8566666
Kota Banjar;2020;Perkotaan;Air kemasan bermerk;2241,643616
Kota Banjar;2020;Perkotaan;Leding;2057,824871
Kota Banjar;2020;Perdesaan;Mata air terlindung;369,9801788
Kota Banjar;2020;Perkotaan;Mata air terlindung;281,5699234
Kota Banjar;2020;Perdesaan;Sumur bor/pompa;1137,11994
Kota Banjar;2020;Perkotaan;Sumur bor/pompa;5284,66729
Kota Banjar;2020;Perdesaan;Sumur tak terlindung;65,05980682
Kota Banjar;2020;Perdesaan;Sumur terlindung;3529,684412
Kota Banjar;2020;Perkotaan;Sumur terlindung;12458,9076
Kota Banjar;2021;Perdesaan;Air isi ulang;2686,56913
Kota Banjar;2021;Perkotaan;Air isi ulang;25371,4226
Kota Banjar;2021;Perkotaan;Air kemasan bermerk;3464,425615
Kota Banjar;2021;Perdesaan;Leding;599,8111019
Kota Banjar;2021;Perkotaan;Leding;1905,48051
Kota Banjar;2021;Perdesaan;Mata air tak terlindung;538,5081177
Kota Banjar;2021;Perdesaan;Mata air terlindung;1206,824993
Kota Banjar;2021;Perkotaan;Mata air terlindung;342,6125565
Kota Banjar;2021;Perdesaan;Sumur bor/pompa;215,7099047
Kota Banjar;2021;Perkotaan;Sumur bor/pompa;4094,378626
Kota Banjar;2021;Perdesaan;Sumur tak terlindung;17,27030754
Kota Banjar;2021;Perkotaan;Sumur tak terlindung;380,6714783
Kota Banjar;2021;Perdesaan;Sumur terlindung;4580,635439
Kota Banjar;2021;Perkotaan;Sumur terlindung;13169,88642
Kota Banjar;2022;Perdesaan;Air isi ulang;4177,168903
Kota Banjar;2022;Perkotaan;Air isi ulang;23652,42741
Kota Banjar;2022;Perdesaan;Air kemasan bermerk;205,5601427
Kota Banjar;2022;Perkotaan;Air kemasan bermerk;2346,570413
Kota Banjar;2022;Perdesaan;Leding;333,0693873
Kota Banjar;2022;Perkotaan;Leding;1837,760177
Kota Banjar;2022;Perdesaan;Mata air terlindung;1388,337427
Kota Banjar;2022;Perkotaan;Mata air terlindung;448,6523995
Kota Banjar;2022;Perdesaan;Sumur bor/pompa;612,6379857
Kota Banjar;2022;Perkotaan;Sumur bor/pompa;7370,223884
Kota Banjar;2022;Perkotaan;Sumur tak terlindung;183,1882373
Kota Banjar;2022;Perdesaan;Sumur terlindung;1504,946184
Kota Banjar;2022;Perkotaan;Sumur terlindung;7518,857554
Kota Banjar;2023;Perdesaan;Air isi ulang;2708,081013
Kota Banjar;2023;Perkotaan;Air isi ulang;28468,62284
Kota Banjar;2023;Perdesaan;Air kemasan bermerk;90,28960398
Kota Banjar;2023;Perkotaan;Air kemasan bermerk;3298,076551
Kota Banjar;2023;Perkotaan;Leding;1285,659099
Kota Banjar;2023;Perdesaan;Mata air tak terlindung;178,5822706
Kota Banjar;2023;Perkotaan;Mata air tak terlindung;144,1592525
Kota Banjar;2023;Perdesaan;Mata air terlindung;2225,516144
Kota Banjar;2023;Perkotaan;Mata air terlindung;682,6308134
Kota Banjar;2023;Perdesaan;Sumur bor/pompa;2658,707171
Kota Banjar;2023;Perkotaan;Sumur bor/pompa;5089,881824
Kota Banjar;2023;Perdesaan;Sumur tak terlindung;233,2417492
Kota Banjar;2023;Perkotaan;Sumur tak terlindung;624,323094
Kota Banjar;2023;Perdesaan;Sumur terlindung;344,6463185
Kota Banjar;2023;Perkotaan;Sumur terlindung;10725,64653
Kota Bekasi;2019;Perkotaan;Air isi ulang;333287,8672
Kota Bekasi;2019;Perkotaan;Air kemasan bermerk;287723,4708
Kota Bekasi;2019;Perkotaan;Leding;1909,005356
Kota Bekasi;2019;Perkotaan;Sumur bor/pompa;187135,0179
Kota Bekasi;2019;Perkotaan;Sumur terlindung;1789,79364
Kota Bekasi;2020;Perkotaan;Air isi ulang;341368,7382
Kota Bekasi;2020;Perkotaan;Air kemasan bermerk;263854,4332
Kota Bekasi;2020;Perkotaan;Leding;3426,475601
Kota Bekasi;2020;Perkotaan;Sumur bor/pompa;213249,9978
