Wilayah;Tahun;Perkotaan_Perdesaan;Sumber_Air;Total_WERT
Bandung Barat;2020;Perdesaan;Air isi ulang;20510,85716
Bandung Barat;2020;Perkotaan;Air isi ulang;96057,59874
Bandung Barat;2020;Perdesaan;Air kemasan bermerk;1398,482697
Bandung Barat;2020;Perkotaan;Air kemasan bermerk;35178,11124
Bandung Barat;2020;Perdesaan;Leding;4132,214722
Bandung Barat;2020;Perkotaan;Leding;14696,76518
Bandung Barat;2020;Perdesaan;Mata air tak terlindung;4459,297348
Bandung Barat;2020;Perkotaan;Mata air tak terlindung;525,307312
Bandung Barat;2020;Perdesaan;Mata air terlindung;34493,08828
Bandung Barat;2020;Perkotaan;Mata air terlindung;63285,78175
Bandung Barat;2020;Perdesaan;Sumur bor/pompa;34146,63499
Bandung Barat;2020;Perkotaan;Sumur bor/pompa;61670,99693
Bandung Barat;2020;Perdesaan;Sumur tak terlindung;5088,863487
Bandung Barat;2020;Perkotaan;Sumur tak terlindung;9572,639725
Bandung Barat;2020;Perdesaan;Sumur terlindung;27163,79822
Bandung Barat;2020;Perkotaan;Sumur terlindung;55553,95067
Bandung Barat;2021;Perdesaan;Air hujan;423,0653687
Bandung Barat;2021;Perdesaan;Air isi ulang;14214,69954
Bandung Barat;2021;Perkotaan;Air isi ulang;112943,6189
Bandung Barat;2021;Perdesaan;Air kemasan bermerk;486,8421021
Bandung Barat;2021;Perkotaan;Air kemasan bermerk;20529,53183
Bandung Barat;2021;Perdesaan;Air permukaan;145,7381134
Bandung Barat;2021;Perdesaan;Leding;1582,312497
Bandung Barat;2021;Perkotaan;Leding;25728,53107
Bandung Barat;2021;Perdesaan;Mata air tak terlindung;15853,32647
Bandung Barat;2021;Perkotaan;Mata air tak terlindung;4376,960663
Bandung Barat;2021;Perdesaan;Mata air terlindung;28386,32004
Bandung Barat;2021;Perkotaan;Mata air terlindung;63712,1067
Bandung Barat;2021;Perdesaan;Sumur bor/pompa;25721,85666
Bandung Barat;2021;Perkotaan;Sumur bor/pompa;59552,02483
Bandung Barat;2021;Perdesaan;Sumur tak terlindung;6751,762192
Bandung Barat;2021;Perkotaan;Sumur tak terlindung;2624,64682
Bandung Barat;2021;Perdesaan;Sumur terlindung;26727,96123
Bandung Barat;2021;Perkotaan;Sumur terlindung;79173,884
Bandung Barat;2022;Perdesaan;Air isi ulang;13017,4616
Bandung Barat;2022;Perkotaan;Air isi ulang;108267,7817
Bandung Barat;2022;Perkotaan;Air kemasan bermerk;21707,99053
Bandung Barat;2022;Perdesaan;Air permukaan;689,7664285
Bandung Barat;2022;Perkotaan;Air permukaan;279,18354
Bandung Barat;2022;Perkotaan;Lainnya;570,8186664
Bandung Barat;2022;Perdesaan;Leding;1869,103447
Bandung Barat;2022;Perkotaan;Leding;12347,24029
Bandung Barat;2022;Perdesaan;Mata air tak terlindung;22712,53231
Bandung Barat;2022;Perkotaan;Mata air tak terlindung;7411,69176
Bandung Barat;2022;Perdesaan;Mata air terlindung;18670,31497
Bandung Barat;2022;Perkotaan;Mata air terlindung;65074,37031
Bandung Barat;2022;Perdesaan;Sumur bor/pompa;22442,62784
Bandung Barat;2022;Perkotaan;Sumur bor/pompa;67647,34853
Bandung Barat;2022;Perdesaan;Sumur tak terlindung;4336,356088
Bandung Barat;2022;Perkotaan;Sumur tak terlindung;3872,328145
Bandung Barat;2022;Perdesaan;Sumur terlindung;30782,10573
Bandung Barat;2022;Perkotaan;Sumur terlindung;73924,94523
Bandung Barat;2023;Perdesaan;Air isi ulang;2291,661922
Bandung Barat;2023;Perkotaan;Air isi ulang;137253,8223
Bandung Barat;2023;Perkotaan;Air kemasan bermerk;31060,90413
Bandung Barat;2023;Perdesaan;Air permukaan;669,2755818
Bandung Barat;2023;Perdesaan;Lainnya;466,7024626
Bandung Barat;2023;Perdesaan;Leding;927,3250819
Bandung Barat;2023;Perkotaan;Leding;14270,97152
Bandung Barat;2023;Perdesaan;Mata air tak terlindung;6219,159157
Bandung Barat;2023;Perkotaan;Mata air tak terlindung;1178,347402
Bandung Barat;2023;Perdesaan;Mata air terlindung;24623,7128
Bandung Barat;2023;Perkotaan;Mata air terlindung;75014,05739
Bandung Barat;2023;Perdesaan;Sumur bor/pompa;23086,74636
Bandung Barat;2023;Perkotaan;Sumur bor/pompa;53662,69873
Bandung Barat;2023;Perdesaan;Sumur tak terlindung;16585,35943
Bandung Barat;2023;Perkotaan;Sumur tak terlindung;2910,756159
Bandung Barat;2023;Perdesaan;Sumur terlindung;31755,0831
Bandung Barat;2023;Perkotaan;Sumur terlindung;69293,40615
Bekasi;2019;Perdesaan;Air isi ulang;66883,46809
Bekasi;2019;Perkotaan;Air isi ulang;551967,7046
Bekasi;2019;Perdesaan;Air kemasan bermerk;6742,063276
Bekasi;2019;Perkotaan;Air kemasan bermerk;240080,0971
Bekasi;2019;Perkotaan;Leding;20210,65647
Bekasi;2019;Perdesaan;Sumur bor/pompa;7930,464879
Bekasi;2019;Perkotaan;Sumur bor/pompa;120528,9242
Bekasi;2019;Perkotaan;Sumur tak terlindung;2821,557739
Bekasi;2019;Perdesaan;Sumur terlindung;663,7292547
Bekasi;2019;Perkotaan;Sumur terlindung;5117,991989
Bekasi;2020;Perdesaan;Air isi ulang;62634,48506
Bekasi;2020;Perkotaan;Air isi ulang;642127,3807
Bekasi;2020;Perdesaan;Air kemasan bermerk;4934,971074
Bekasi;2020;Perkotaan;Air kemasan bermerk;241071,9823
Bekasi;2020;Perkotaan;Air permukaan;613,5548706
Bekasi;2020;Perkotaan;Leding;5511,40332
Bekasi;2020;Perkotaan;Mata air terlindung;2069,12851
Bekasi;2020;Perdesaan;Sumur bor/pompa;14226,27348
Bekasi;2020;Perkotaan;Sumur bor/pompa;104126,9516
Bekasi;2020;Perdesaan;Sumur tak terlindung;549,4946899
Bekasi;2020;Perkotaan;Sumur tak terlindung;868,7456055
Bekasi;2020;Perdesaan;Sumur terlindung;975,9626465
Bekasi;2020;Perkotaan;Sumur terlindung;6716,673187
Bekasi;2021;Perdesaan;Air hujan;160,1528778
Bekasi;2021;Perkotaan;Air hujan;1978,255981
Bekasi;2021;Perdesaan;Air isi ulang;40907,38832
Bekasi;2021;Perkotaan;Air isi ulang;644169,09
Bekasi;2021;Perdesaan;Air kemasan bermerk;2609,498207
Bekasi;2021;Perkotaan;Air kemasan bermerk;224905,473
Bekasi;2021;Perdesaan;Leding;5394,901496
Bekasi;2021;Perkotaan;Leding;10632,6214
Bekasi;2021;Perkotaan;Mata air tak terlindung;918,2944946
Bekasi;2021;Perkotaan;Mata air terlindung;991,9333496
Bekasi;2021;Perdesaan;Sumur bor/pompa;4991,308603
Bekasi;2021;Perkotaan;Sumur bor/pompa;160531,8291
Bekasi;2021;Perdesaan;Sumur tak terlindung;9,627615929
Bekasi;2021;Perkotaan;Sumur tak terlindung;4461,08252
Bekasi;2021;Perdesaan;Sumur terlindung;2502,027551
Bekasi;2021;Perkotaan;Sumur terlindung;3410,856476
Bekasi;2022;Perdesaan;Air hujan;306,3027523
Bekasi;2022;Perdesaan;Air isi ulang;43395,4192
Bekasi;2022;Perkotaan;Air isi ulang;681524,4692
Bekasi;2022;Perdesaan;Air kemasan bermerk;2768,133417
