Wilayah;Tahun;Perkotaan_Perdesaan;Kondisi;Status;total_WERT
Bandung Barat;2019;Perkotaan;Berasa;Ya;932,5112915
Bandung Barat;2020;Perkotaan;Berasa;Ya;3257,648438
Bandung Barat;2021;Perkotaan;Berasa;Ya;615,828064
Bandung Barat;2022;Perkotaan;Berasa;Ya;900,8891083
Bandung Barat;2019;Perdesaan;Berasa;Tidak;130573,3927
Bandung Barat;2020;Perdesaan;Berasa;Tidak;131393,2369
Bandung Barat;2021;Perdesaan;Berasa;Tidak;117371,4841
Bandung Barat;2022;Perdesaan;Berasa;Tidak;114520,2684
Bandung Barat;2023;Perdesaan;Berasa;Tidak;106283,6765
Bandung Barat;2019;Perkotaan;Berasa;Tidak;337760,5332
Bandung Barat;2020;Perkotaan;Berasa;Tidak;333283,5031
Bandung Barat;2021;Perkotaan;Berasa;Tidak;368025,4768
Bandung Barat;2022;Perkotaan;Berasa;Tidak;360202,8096
Bandung Barat;2023;Perkotaan;Berasa;Tidak;384644,9637
Bandung Barat;2019;Perdesaan;Berbau;Ya;329,359642
Bandung Barat;2023;Perdesaan;Berbau;Ya;497,6286323
Bandung Barat;2019;Perkotaan;Berbau;Ya;2286,122528
Bandung Barat;2020;Perkotaan;Berbau;Ya;3696,376038
Bandung Barat;2021;Perkotaan;Berbau;Ya;1126,876923
Bandung Barat;2022;Perkotaan;Berbau;Ya;3063,033577
Bandung Barat;2023;Perkotaan;Berbau;Ya;107,9260557
Bandung Barat;2019;Perdesaan;Berbau;Tidak;130498,1555
Bandung Barat;2020;Perdesaan;Berbau;Tidak;131393,2369
Bandung Barat;2021;Perdesaan;Berbau;Tidak;120293,8842
Bandung Barat;2022;Perdesaan;Berbau;Tidak;114520,2684
Bandung Barat;2023;Perdesaan;Berbau;Tidak;106127,3973
Bandung Barat;2019;Perkotaan;Berbau;Tidak;336406,922
Bandung Barat;2020;Perkotaan;Berbau;Tidak;332844,7755
Bandung Barat;2021;Perkotaan;Berbau;Tidak;367514,4279
Bandung Barat;2022;Perkotaan;Berbau;Tidak;358040,6652
Bandung Barat;2023;Perkotaan;Berbau;Tidak;384537,0377
Bandung Barat;2019;Perdesaan;Berbusa;Ya;254,1224518
Bandung Barat;2023;Perdesaan;Berbusa;Ya;499,5200272
Bandung Barat;2019;Perkotaan;Berbusa;Ya;414,0827026
Bandung Barat;2020;Perkotaan;Berbusa;Ya;1550,223816
Bandung Barat;2022;Perkotaan;Berbusa;Ya;900,8891083
Bandung Barat;2019;Perdesaan;Berbusa;Tidak;130573,3927
Bandung Barat;2020;Perdesaan;Berbusa;Tidak;131393,2369
Bandung Barat;2021;Perdesaan;Berbusa;Tidak;120293,8842
Bandung Barat;2022;Perdesaan;Berbusa;Tidak;114520,2684
Bandung Barat;2023;Perdesaan;Berbusa;Tidak;106125,5059
Bandung Barat;2019;Perkotaan;Berbusa;Tidak;338278,9618
Bandung Barat;2020;Perkotaan;Berbusa;Tidak;334990,9277
Bandung Barat;2021;Perkotaan;Berbusa;Tidak;368641,3049
Bandung Barat;2022;Perkotaan;Berbusa;Tidak;360202,8096
Bandung Barat;2023;Perkotaan;Berbusa;Tidak;384644,9637
Bandung Barat;2019;Perdesaan;Berwarna;Ya;612,7744598
Bandung Barat;2022;Perdesaan;Berwarna;Ya;1123,850856
Bandung Barat;2023;Perdesaan;Berwarna;Ya;341,3494004
Bandung Barat;2019;Perkotaan;Berwarna;Ya;3055,754211
Bandung Barat;2020;Perkotaan;Berwarna;Ya;3003,4776
Bandung Barat;2021;Perkotaan;Berwarna;Ya;615,828064
Bandung Barat;2022;Perkotaan;Berwarna;Ya;3436,722111
Bandung Barat;2023;Perkotaan;Berwarna;Ya;498,4608383
Bandung Barat;2019;Perdesaan;Berwarna;Tidak;130214,7407
Bandung Barat;2020;Perdesaan;Berwarna;Tidak;131393,2369
Bandung Barat;2021;Perdesaan;Berwarna;Tidak;120293,8842
Bandung Barat;2022;Perdesaan;Berwarna;Tidak;113396,4176
Bandung Barat;2023;Perdesaan;Berwarna;Tidak;106283,6765
Bandung Barat;2019;Perkotaan;Berwarna;Tidak;335637,2903
Bandung Barat;2020;Perkotaan;Berwarna;Tidak;333537,674
Bandung Barat;2021;Perkotaan;Berwarna;Tidak;368025,4768
Bandung Barat;2022;Perkotaan;Berwarna;Tidak;357666,9766
Bandung Barat;2023;Perkotaan;Berwarna;Tidak;384146,5029
Bandung Barat;2019;Perdesaan;Keruh;Ya;728,9081573
Bandung Barat;2020;Perdesaan;Keruh;Ya;967,9234619
Bandung Barat;2021;Perdesaan;Keruh;Ya;1746,253571
Bandung Barat;2022;Perdesaan;Keruh;Ya;1606,003756
Bandung Barat;2023;Perdesaan;Keruh;Ya;1311,830142
Bandung Barat;2019;Perkotaan;Keruh;Ya;10070,65459
Bandung Barat;2020;Perkotaan;Keruh;Ya;5145,513763
Bandung Barat;2021;Perkotaan;Keruh;Ya;3527,155304
Bandung Barat;2022;Perkotaan;Keruh;Ya;5081,950325
Bandung Barat;2023;Perkotaan;Keruh;Ya;4758,443493
Bandung Barat;2019;Perdesaan;Keruh;Tidak;130098,607
